# Id	IsActive	ProductId	PartNumber	Description	Price	PartLoc	AvailQty	PkgQty	PkgPrice	DSort	CategoryCD	ProdCode
77093f44-c8e1-4bce-b38b-1dd7a07a00e7	1	ad345bad-efab-4732-8771-99502d11ffe1	CS62-1032-16CR	Small base stud	6.05	Bin:	00000000000	1	0.00	0.1900-1032-16CR	studsandstands	CS62
789eab74-08e5-4796-a739-dbe9e66b83ea	1	1e37e4a6-bf42-4daa-927c-f6cddb6260d9	CB9085A3-155	Threaded Insert	15.50	Bin:	00000000000	1	0.00	0.1900A3-155	bushings	CB9085
792b3911-127d-475d-b0d0-899611a145e6	1	06c00249-eb1c-4052-93d6-74624b4bb17b	CB4021V3N16	1" tall - Glass/PEI	15.67	Bin:	00000000000	25	0.00	0.1900V3N16	mounts	CB4021
795c4b0a-9ef3-4998-89ca-c35d623cd625	1	be45ddb7-dbc3-4df0-b4a4-e18274dbe599	CB9029AA3-500	10/32" Anodized-Aluminum .500 long	6.75	Bin:	00000000000	1	0.00	0.1900AA3-500	bushings	CB9029
79614b49-8546-4423-a084-8f0353eea980	1	b304f83d-9926-4a23-bf3e-9067773a12e3	CB9317AA6P	Washer, Countersunk	4.02	Bin:	00000000000	1	0.00	0.3750AA6P	bushings	CB9317
7978d5e7-27d2-4e4d-a637-dfc02d044a65	1	43b8db6f-afa1-4388-acb9-a5f67e316628	CB3000CRA3-8	Stud	11.88	Bin:	00000000000	25	0.00	0.1900CRA3-8	studsandstands	CB3000
7a0b3b56-6bdd-4f71-a802-f7e38def2b7d	1	d9e17b47-f096-4288-897a-82aaafcac771	CB6009CR3-2	Nutplate	5.29	Bin:	00000000000	1	0.00	0.1900CR3-2	nutplates	CB6009
7a56d573-58d6-4dd6-b7e6-3ad97147e65f	1	466773ec-12a3-4909-b4ed-1a6432a28f89	CB6010ACR3-2P	Sealed nutplate	12.00	Bin:	00000000000	1	0.00	0.1900ACR3-2P	nutplates	CB6010
7a811fa6-6aac-4fed-8035-b8a72fc45a92	1	9d961dfb-a348-4553-a660-ee67e666e81b	CS200-3816-16CR	Stud	8.57	Bin:	00000000000	10	0.00	0.3750-3816-16CR	studsandstands	CS200
7ac72e2c-e67b-4ace-9e2b-01a822f28d08	1	9d961dfb-a348-4553-a660-ee67e666e81b	CS200-1420-10CR	Stud	7.63	Bin:	00000000000	10	0.00	0.2500-1420-10CR	studsandstands	CS200
7ebe8d0f-821d-494a-8d3d-67e433008400	1	4d272746-f649-4ac2-b889-d2a3fa1b8605	CB3001CR3-24P	Standoff	12.49	Bin:	00000000000	25	0.00	0.1900CRA3-24	studsandstands	CB3001
7f4355c5-ce80-467a-86fc-32b4cd8134c7	1	ff00dfb7-aa33-4000-ab12-d6c3e7bc3009	CB4064V3-12P	cable tie standoff	4.43	Bin:	00000000000	1	0.00	0.1900V3-12P	mounts	CB4064
7fb5a92a-a1e1-40b8-a478-a11f49fc4e23	1	177612db-8c78-492a-ba40-13e6e55d5b5e	CN614CR08P	8/32 Thread Nutplate	4.95	Bin:	00000000000	25	0.00	0.1640CR08P	nutplates	CN614
7fd5ea98-217e-41fd-9980-445a3cb55c6e	1	b7ec32b7-b503-495c-b5f9-1fd07315d37d	CB4023V3CR8	10/32-1/2" tall	14.00	Bin:	00000000000	1	0.00	0.1900V3CR8	nutplates	CB4023
80b17a25-2db8-467d-9cec-efcaac53e461	1	c2570547-55b3-40e2-806e-1d1418a6bbcc	CB3019A5N	Cable tie mount	2.12	Bin:	00000000000	25	0.00	0.3125A5N	mounts	CB3019
815d7bb4-734d-4ae1-ba4e-e89467a7173c	1	177612db-8c78-492a-ba40-13e6e55d5b5e	CN614CR324P	10/24 Thread Nutplate	4.75	Bin:	00000000000	1	0.00	0.1900CR324P	nutplates	CN614
819583d9-8180-4d16-8516-e028e837a0cc	1	43b8db6f-afa1-4388-acb9-a5f67e316628	CB3000CRA3-24	Stud	12.60	Bin:	00000000000	25	0.00	0.1900CRA3-24	studsandstands	CB3000
82210c44-27aa-4331-b9c0-cb7db7a345a9	1	8b250134-c490-44a0-b506-2cafea6e68fb	CN125-832-8CR	Standoff	3.75	Bin:	00000000000	1	0.00	0.1640-832-8CR	studsandstands	CN125
825fdbf3-c85d-4400-8275-7cea763e4b5a	1	345af579-40cc-475d-a542-135b332be760	CB603-2	Tester	975.00	Bin:	00000000000	1	0.00	CB603-2-2	tools	CB603
82953c3b-f0ea-444f-af3f-7e335b9de158	1	563cd9de-24f5-4869-aa8e-c3c3e8c393d8	CB9173V3-7	Receptacle, Internal fixture	2.34	Bin:	00000000000	1	0.00	0.1900V3-7	mounts	CB9173
82b2058c-7a74-4ad6-a639-7f710e869557	1	43b8db6f-afa1-4388-acb9-a5f67e316628	CB3000CRA3-26	Stud	10.02	Bin:	00000000000	1	0.00	0.1900CRA3-26	studsandstands	CB3000
82e51cff-26b0-4ed2-b198-9933f42be914	1	8b250134-c490-44a0-b506-2cafea6e68fb	CN125-832-12GCR	Standoff, composite base	5.90	Bin:	00000000000	1	0.00	0.1640-832-12GCR	studsandstands	CN125
830ecad4-29fb-4112-81ee-6a57a8ead426	1	7743c51a-c252-4ce9-925b-82bebd9eddc5	CB4001G06CRA6	Standoff, Composite Base	11.63	Bin:	00000000000	1	0.00	0.1380G06CRA6	studsandstands	CB4001
83497cb2-775f-45ac-b6b7-b4e6a00d2c5b	1	d7156369-5614-42a0-a1d2-137a390791cc	CB6014CR3-1P	10/32 nutplate	4.25	Bin:	00000000000	1	0.00	0.1900CR3-1P	nutplates	CB6014
83806c27-b585-4219-945f-8f41dc3dcba5	1	c2570547-55b3-40e2-806e-1d1418a6bbcc	CB3019AA3NB750P	Cable tie mount, trimmed base	6.27	Bin:	00000000000	25	0.00		mounts	CB3019
83a4e36a-a8c8-4ab3-90f7-f99f6564c53f	1	b7ec32b7-b503-495c-b5f9-1fd07315d37d	CB4023G3CR16	Nutplate, Standoff	15.00	Bin:	00000000000	1	0.00	0.1900G3CR16	nutplates	CB4023
83d01af4-7f5b-47fb-9b03-7cd7fab94968	1	7743c51a-c252-4ce9-925b-82bebd9eddc5	CB4001C3CR8	Standoff, Composite Base	16.80	Bin:	00000000000	1	0.00	0.1900C3CR8	studsandstands	CB4001
